age,gender,region,income,credit_score,loan_amount,loan_term,employment_years,existing_loans,loan_approved
56,Female,Urban,927755,645,358157,36,26,2,0
46,Male,Rural,1742895,511,246607,72,15,5,0
32,Female,Urban,840177,523,115524,36,18,5,0
60,Female,Urban,1116067,821,303692,36,22,5,1
25,Male,Urban,1635763,379,827635,12,35,4,0
38,Male,Rural,468377,411,594467,24,17,2,0
56,Male,Rural,641740,577,537520,48,23,2,0
36,Female,Urban,1408556,698,216638,12,6,0,0
40,Female,Urban,1684990,811,803210,12,24,5,0
28,Female,Urban,1120801,869,742129,36,6,5,1
28,Female,Urban,1689085,631,51787,36,4,3,0
41,Female,Urban,1960894,466,253222,60,40,2,0
53,Male,Rural,1909736,743,664135,60,23,2,0
57,Male,Rural,1613786,707,578958,24,19,0,1
41,Female,Urban,1933866,738,872039,24,20,0,1
20,Female,Rural,1305552,813,799756,48,19,5,0
39,Female,Urban,1794635,706,476376,12,9,3,0
19,Female,Urban,1083268,681,587494,36,22,0,0
41,Female,Urban,399757,358,556477,36,32,3,0
61,Male,Urban,1010521,868,981887,24,14,5,0
47,Female,Urban,560722,725,586528,60,33,3,0
55,Male,Urban,1761045,439,627591,72,14,1,0
19,Male,Rural,1975728,500,158070,48,4,1,0
38,Female,Rural,997149,886,825557,72,8,2,1
50,Female,Urban,655993,536,781778,12,26,3,0
29,Male,Urban,1152803,778,927172,24,27,3,1
39,Female,Urban,380253,812,892021,60,8,1,0
61,Female,Urban,1682672,865,915021,60,35,5,0
42,Female,Rural,1486345,818,743640,12,8,0,0
44,Female,Urban,509287,711,745118,12,30,0,0
59,Male,Urban,129017,849,687247,72,13,0,0
45,Female,Urban,1928778,455,107053,24,14,3,0
33,Female,Rural,634611,311,820224,12,40,1,0
32,Female,Urban,548553,471,541075,36,1,5,0
64,Female,Rural,446546,826,238892,60,31,4,0
61,Male,Urban,1383237,673,119497,60,26,1,0
20,Male,Urban,1756234,610,766960,36,6,2,0
54,Female,Urban,1515215,394,332245,48,13,0,0
24,Female,Rural,678601,544,108652,48,28,0,0
38,Female,Urban,448344,637,187746,12,39,5,0
26,Male,Urban,990677,363,73268,72,19,3,0
56,Male,Urban,1435136,846,859370,24,38,2,1
35,Male,Urban,1166215,765,381466,48,4,5,1
21,Female,Rural,1607728,310,377401,72,17,1,0
42,Male,Rural,1981778,612,222040,24,7,5,0
31,Female,Rural,1473320,380,184607,24,6,3,0
26,Male,Urban,531623,881,395714,48,23,4,0
43,Female,Urban,383880,669,301537,24,21,0,0
19,Male,Rural,634462,464,386631,12,19,4,0
37,Male,Rural,277519,362,190684,36,26,5,0
45,Female,Urban,541965,379,99222,72,19,0,0
64,Female,Urban,929367,328,535968,72,5,0,0
24,Male,Rural,210149,799,116504,36,7,2,1
61,Female,Urban,136232,750,96623,12,14,2,1
25,Male,Urban,645738,573,269929,12,21,3,0
64,Male,Urban,680085,700,245433,60,34,2,1
52,Male,Rural,905230,540,176131,36,12,0,0
31,Male,Urban,1291022,629,72677,12,27,1,0
34,Male,Urban,1503140,528,369468,48,19,0,1
